Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Indonesia,IDN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.096,-0.03,-0.134,-0.036,-0.257,0.025,-0.163,-0.069,0.151,0.129,-0.15,-0.054,0.264,-0.111,-0.131,-0.012,0.118,0.176,0.235,0.29,0.2,0.036,0.405,-0.11,0.151,0.138,0.514,0.437,0.13,0.089,0.273,0.341,0.289,0.343,0.382,0.428,0.463,1.05,0.282,0.275,0.53,0.607,0.594,0.54,0.71,0.422,0.464,0.223,0.563,0.766,0.306,0.459,0.799,0.812,0.841,1.488,1.055,0.973,1.118,1.322,1.11,1.085,East Asia & Pacific,Upper middle income,1904569.0,148
Iraq,IRQ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.189,0.885,0.433,-0.81,-0.134,0.964,-0.843,-0.275,0.241,0.661,-0.178,-0.731,-0.245,-0.434,-0.239,-0.777,0.313,0.162,1.264,0.058,0.257,-0.406,-0.802,0.036,0.021,0.37,0.368,0.106,0.176,0.356,0.608,-1.169,-0.469,1.009,0.366,0.798,0.305,1.295,1.917,0.995,1.289,1.168,0.96,1.084,0.526,1.621,0.935,1.155,0.881,2.712,0.91,1.293,1.263,1.175,1.94,1.672,1.572,2.406,1.626,1.857,2.644,2.147,Middle East & North Africa,Upper middle income,438317.0,105
Ireland,IRL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.264,-0.688,-0.773,0.158,-0.554,-0.033,-0.009,0.072,-0.265,0.06,0.342,-0.268,0.362,-0.211,0.701,0.561,-0.279,0.257,-0.687,-0.057,0.377,0.154,0.408,0.336,-0.439,-0.726,-0.143,0.246,1.054,0.829,0.199,0.446,0.064,0.282,1.198,-0.006,0.977,0.937,1.077,0.577,0.551,0.83,1.024,0.9,1.175,1.159,1.345,0.836,0.804,-0.104,0.559,0.705,0.568,1.357,0.449,1.04,1.264,0.783,1.201,1.075,1.019,1.764,Europe & Central Asia,High income,70273.0,73
Isle of Man,IMN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.358,-0.746,-0.82,0.095,-0.579,-0.1,0.105,0.035,-0.287,0.049,0.316,-0.19,0.297,-0.2,0.697,0.661,-0.339,0.209,-0.777,-0.031,0.292,0.076,0.381,0.356,-0.489,-0.684,-0.222,0.27,1.105,0.913,0.178,0.462,-0.037,0.269,1.164,-0.112,0.924,0.928,1.112,0.636,0.516,0.891,1.049,0.952,1.165,1.229,1.321,0.829,0.874,-0.111,0.681,0.61,0.428,1.515,0.441,1.118,1.367,0.881,1.175,1.199,1.02,1.84,Europe & Central Asia,High income,572.0,149
Israel,ISR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.106,0.826,0.842,-0.622,-0.031,0.61,-0.928,-0.118,0.238,0.184,-0.353,-0.513,-0.481,-0.26,-0.414,-0.577,0.005,-0.079,0.607,-0.202,-0.213,-0.564,-1.066,-0.209,0.01,0.056,-0.283,0.037,-0.174,-0.112,0.393,-1.037,-0.368,0.796,-0.153,0.342,-0.118,0.892,0.894,0.25,0.855,0.729,0.559,0.556,0.199,0.593,0.521,0.724,0.824,2.321,0.578,1.035,1.108,0.871,1.331,1.607,0.735,2.003,1.212,1.451,1.786,1.079,Middle East & North Africa,High income,20770.0,424
Italy,ITA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.805,0.025,-0.365,0.131,-0.431,0.307,0.301,0.011,-0.107,-0.153,-0.149,-0.132,0.034,-0.115,0.075,-0.32,0.283,-0.537,0.022,-0.421,-0.279,0.511,0.384,-0.468,0.117,0.436,0.192,0.842,0.417,1.132,0.029,0.542,0.527,1.513,0.418,0.233,0.931,0.969,0.918,1.243,1.533,0.913,1.526,0.746,0.563,0.84,1.552,1.133,1.234,0.755,1.253,1.543,1.006,1.638,1.704,1.716,1.606,1.834,1.698,1.902,1.569,2.135,Europe & Central Asia,High income,301336.0,199
Jamaica,JAM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.021,-0.038,-0.116,-0.042,-0.219,0.014,-0.214,-0.132,0.238,-0.241,-0.361,0.0,0.309,0.151,0.246,-0.325,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.604,0.852,0.285,0.598,0.178,0.205,0.223,1.093,0.949,0.534,0.56,0.617,0.93,0.607,1.097,1.062,0.531,0.99,1.395,0.753,0.408,0.661,0.943,1.119,0.95,1.037,1.029,0.939,0.551,0.819,1.183,0.578,0.719,0.988,1.212,1.401,1.395,1.076,1.249,1.524,1.623,1.267,1.14,Latin America & Caribbean,Upper middle income,10991.0,261
Japan,JPN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.668,0.125,-0.053,0.266,-0.519,0.019,0.034,-0.498,-0.049,-0.381,-0.334,0.227,0.325,-0.488,0.041,-0.506,-0.154,0.232,0.458,-0.206,-0.631,-0.041,0.107,-0.605,0.13,-0.686,0.326,-0.154,0.556,1.132,0.726,0.333,0.012,0.965,0.348,-0.127,0.454,1.199,0.948,0.636,0.418,0.63,0.326,1.116,0.737,0.39,1.004,0.671,0.801,0.922,0.596,0.395,0.628,0.56,0.833,1.323,0.796,0.926,1.272,1.437,1.27,1.335,East Asia & Pacific,High income,377930.0,338
Jordan,JOR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.189,0.983,0.784,-0.655,-0.005,0.742,-1.048,-0.129,0.383,0.196,-0.405,-0.626,-0.491,-0.334,-0.507,-0.726,-0.001,-0.005,0.77,-0.113,-0.158,-0.682,-1.071,-0.227,-0.009,0.069,-0.122,0.03,-0.065,-0.03,0.521,-1.11,-0.503,0.941,-0.047,0.487,-0.176,1.023,1.052,0.375,0.983,0.666,0.498,0.62,0.103,0.752,0.516,0.732,0.549,2.625,0.506,1.067,1.002,0.787,1.429,1.641,0.92,1.972,1.281,1.617,1.923,1.358,Middle East & North Africa,Lower middle income,89342.0,128
Kenya,KEN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.258,-0.242,-0.191,-0.442,-0.299,0.062,-0.064,-0.641,0.086,0.181,-0.272,0.216,0.535,-0.069,-0.067,0.229,0.216,-0.023,0.055,0.561,0.183,0.297,0.609,0.173,-0.057,0.133,0.73,0.589,-0.208,-0.05,0.258,0.406,0.048,0.488,0.356,0.366,0.415,0.25,0.24,0.521,0.602,0.734,0.879,0.648,0.762,0.89,0.634,0.824,1.293,1.106,1.137,1.026,0.93,1.024,1.164,1.237,1.5,0.675,1.624,1.344,1.421,1.28,Sub-Saharan Africa,Lower middle income,580367.0,97
Kiribati,KIR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.038,-0.132,-0.073,-0.177,-0.347,-0.025,-0.037,-0.014,0.362,0.111,-0.442,-0.294,0.145,-0.144,-0.225,-0.218,0.145,0.247,0.171,0.214,0.253,0.179,0.122,-0.138,0.062,0.328,0.11,0.073,-0.203,0.222,0.251,0.144,-0.192,0.096,0.404,0.291,0.087,0.498,-0.142,0.125,0.406,0.508,0.591,0.7772028301886792,0.8518436018957345,0.571,0.547,0.25,0.603,0.312,0.328,0.428,0.628,0.768,0.902,1.229,1.041,0.947,0.949,1.425,1.3430424528301887,1.3820566037735849,East Asia & Pacific,Lower middle income,811.0,165
Kuwait,KWT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.225,0.8,0.485,-0.781,0.051,0.776,-0.621,-0.253,0.375,0.514,-0.178,-0.766,-0.274,-0.341,-0.254,-0.649,0.366,0.036,1.291,0.497,0.418,-0.142,-0.622,0.256,0.003,0.467,0.723,0.449,0.141,0.396,0.535,-0.523,-0.095,0.993,0.217,0.929,0.528,1.346,2.064,1.28,1.27,1.604,1.564,1.519,0.724,1.911,1.085,1.434,1.323,2.602,1.373,1.562,1.349,1.451,2.104,1.695,1.962,2.358,1.895,1.975,2.676,2.275,Middle East & North Africa,High income,17818.0,242
Latvia,LVA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,1.587,0.401,0.689,1.626,-0.411,0.766,0.657,1.562,2.022,1.83,1.73,0.253,1.027,1.355,1.087,2.206,2.403,1.524,0.704,1.151,1.408,1.082,2.33,2.166,1.946,1.503,2.36,2.462,3.55,1.987,1.953,Europe & Central Asia,High income,64559.0,29
Lebanon,LBN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.002,0.852,0.749,-0.719,-0.09,0.683,-0.944,-0.089,0.223,0.389,-0.306,-0.675,-0.535,-0.226,-0.253,-0.667,0.094,0.019,0.693,-0.229,0.017,-0.496,-0.958,-0.081,-0.015,0.233,-0.229,0.019,0.129,0.059,0.411,-1.017,-0.433,1.048,0.044,0.39,-0.103,1.001,1.1,0.544,1.146,0.833,0.626,0.647,0.28,0.72,0.728,0.989,0.844,2.353,0.663,1.045,1.26,1.051,1.383,1.629,1.023,2.154,1.412,1.623,2.039,1.29,Middle East & North Africa,Lower middle income,10452.0,523
Liberia,LBR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.095,-0.074,0.154,-0.133,-0.259,0.05,-0.149,-0.076,0.147,0.272,-0.131,0.025,0.504,0.023,-0.121,-0.193,0.237,0.246,0.55,0.417,0.171,0.249,0.536,0.388,0.282,0.173,0.951,0.824,0.364,0.581,0.52,0.246,0.529,0.533,0.653,0.587,0.972,1.297,0.781,0.56,0.513,0.875,0.938,0.911,1.108,1.119,1.041,1.131,1.365,1.42,1.102,0.869,0.983,0.934,1.288,1.412,1.539,1.306,1.494,1.593,1.474,1.556,Sub-Saharan Africa,Low income,111369.0,56
Libya,LBY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.473,0.208,0.23,-0.051,-0.077,0.251,-0.557,0.008,0.815,-0.223,-0.195,0.179,-0.188,-0.132,-0.449,-0.55,0.246,-0.26,0.302,-0.051,0.022,0.136,-0.332,-0.076,0.099,0.236,0.06,1.051,-0.006,0.557,0.231,-0.404,0.306,0.47,0.344,0.541,0.472,0.76,1.248,0.306,1.291,0.905,0.95,0.745,0.717,0.81,0.86,0.879,0.764,2.074,0.819,0.77,1.24,1.237,0.711,1.587,0.525,1.737,0.92,1.174,1.924,0.559,Middle East & North Africa,Upper middle income,1759540.0,4
Liechtenstein,LIE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.052,-0.483,-0.775,0.058,-0.84,0.407,0.545,0.013,-0.015,-0.553,-0.078,0.077,-0.024,0.177,0.68,0.293,0.272,-0.354,-0.081,-0.159,0.045,0.544,0.942,-0.371,-0.336,0.383,-0.045,0.929,1.089,1.308,0.184,1.09,0.635,1.925,0.9,-0.033,0.942,1.208,0.979,1.464,1.44,1.382,1.67,0.899,0.663,0.955,1.931,1.385,1.405,0.48,1.657,1.611,0.927,2.232,2.046,2.028,1.795,2.26,2.079,2.367,1.232,2.534,Europe & Central Asia,High income,160.0,247
Lithuania,LTU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,1.485,0.297,0.947,1.515,-0.518,0.521,0.74,1.49,2.026,1.804,1.917,0.182,0.883,1.206,0.923,2.196,2.221,1.396,0.766,0.957,1.37,0.967,2.238,2.095,1.944,1.542,2.427,2.642,3.445,1.792,1.96,Europe & Central Asia,High income,65300.0,43
Luxembourg,LUX,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,0.23674396135265702,0.21535096153846153,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,1.651,1.433,1.393,1.692,1.013,1.129,1.357,1.94,1.279,1.188,0.325,1.343,1.262,0.569,2.475,1.528,1.877,1.647,2.468,2.155,2.632,1.158,2.926,Europe & Central Asia,High income,2586.0,254
Malawi,MWI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.314,-0.149,-0.427,-0.267,-0.572,0.149,0.09,-0.271,0.29,0.164,-0.27,-0.008,0.3,-0.325,-0.147,-0.085,0.504,0.265,0.131,0.231,-0.191,0.0,1.038,0.363,0.016,0.162,0.679,0.693,0.174,0.616,0.15,0.749,0.153,0.27,0.794,0.189,0.626,1.031,0.349,0.797,0.592,0.963,0.982,0.879,1.366,0.997,0.904,0.512,0.648,1.03,0.771,0.925,0.676,1.129,1.141,1.361,1.016,1.022,1.22,1.306,0.762,0.816,Sub-Saharan Africa,Low income,118484.0,222
Malaysia,MYS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.07,-0.085,-0.107,0.036,-0.231,0.131,-0.134,-0.108,0.225,0.115,-0.243,0.049,0.262,-0.193,-0.029,-0.239,0.073,0.249,0.379,0.292,0.256,0.27,0.689,0.052,0.244,0.281,0.59,0.525,0.181,0.548,0.464,0.429,0.278,0.42,0.544,0.481,0.69,1.279,0.483,0.449,0.689,0.785,0.781,0.755,0.938,0.707,0.763,0.628,0.865,1.111,0.754,0.901,1.121,1.199,1.372,1.836,1.419,1.443,1.7,1.688,1.473,1.367,East Asia & Pacific,Upper middle income,330803.0,104
Maldives,MDV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.061,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.42,-0.155,-0.23,0.241,0.09218085106382978,-0.20107894736842108,0.21,0.574,-0.148,-0.318,0.005,0.011,-0.158,0.073,0.15,0.092,0.269,0.413,0.169,-0.072,0.149,0.595,0.787,-0.005,0.528,0.566,0.174,0.209,0.409,0.681,0.418,0.573,0.917,0.297,0.255,0.46,0.618,0.518,0.387,0.775,0.317,0.363,0.169,0.53,0.683,0.561,0.573,0.662,0.766,0.982,1.555,1.126,0.84,1.131,1.17,1.122,0.784,South Asia,Upper middle income,300.0,1737
Mali,MLI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.301,-0.145,0.213,-0.13,-0.299,0.005,-0.124,-0.287,0.665,0.365,-0.007,0.278,0.508,-0.435,-0.471,-0.374,0.362,0.36,0.646,0.97,0.395,0.264,0.83,0.609,0.512,0.304,1.081,0.784,0.107,0.903,0.685,0.194,1.026,0.206,0.57,1.161,0.87,1.214,0.375,0.647,0.583,1.246,1.238,1.214,1.396,1.097,0.933,0.548,0.96,1.63,1.207,0.426,0.969,0.787,1.017,1.089,1.347,1.04,1.089,1.01,1.687,0.887,Sub-Saharan Africa,Low income,1240192.0,19
Malta,MLT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.551,0.35,-0.204,0.26,-0.218,0.149,0.131,-0.033,-0.129,-0.144,-0.272,-0.294,-0.003,-0.251,-0.383,-0.706,0.304,-0.602,0.036,-0.504,-0.344,0.623,0.037,-0.267,0.426,0.4,0.525,1.194,0.206,1.235,0.147,0.275,0.625,1.421,0.461,0.639,1.054,0.876,1.268,1.055,1.669,0.942,1.401,0.699,0.67,0.996,1.398,1.271,1.08,1.243,1.013,1.44,1.343,1.507,1.403,1.748,1.224,1.441,1.29,1.643,2.123,1.955,Middle East & North Africa,High income,316.0,1672
Mauritius,MUS,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.524,-0.111,-0.155,-0.246,-0.208,-0.019,0.12,-0.213,0.296,0.333,-0.32,0.133,-0.075,-0.686,-0.105,0.018,0.556,0.345,0.369,0.411,0.199,0.316,0.286,-0.21,-0.06,0.181,0.656,0.443,0.063,0.22,0.492,0.157,0.179,0.466,0.314,0.042,0.585,0.827,0.211,0.173,0.499,0.401,0.69,0.313,0.381,0.312,0.537,0.294,0.797,1.076,0.865,0.665,0.797,0.905,1.158,1.084,1.319,1.051,1.462,1.109,0.987,0.595,Sub-Saharan Africa,Upper middle income,2040.0,641
Mexico,MEX,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.145,0.19,0.23,-0.284,-0.057,-0.238,-0.098,-0.414,0.179,-0.3,-0.066,0.304,-0.167,-0.088,-0.332,-0.495,-0.012,0.166,-0.08,0.38,0.162,0.573,0.024,-0.102,0.097,0.298,-0.119,0.174,0.493,0.274,0.268,0.086,0.327,0.711,0.81,0.567,0.5,0.736,0.642,0.634,0.549,0.73,0.894,0.365,0.806,0.93,0.503,0.558,1.053,0.306,1.026,0.948,0.798,0.911,1.141,1.346,1.629,1.24,1.378,1.726,1.163,1.249,Latin America & Caribbean,Upper middle income,1964375.0,66
Monaco,MCO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.739,-0.048,-0.631,0.408,-0.464,0.21,0.432,0.013,-0.228,-0.017,0.002,-0.114,0.288,-0.086,0.195,0.044,-0.039,-0.403,-0.018,-0.353,-0.083,0.55,0.494,-0.603,-0.106,0.433,0.196,0.758,0.908,1.284,0.107,0.651,0.461,1.302,0.672,0.211,1.297,0.922,0.924,1.112,1.381,0.916,1.645,0.851,0.806,1.183,1.643,1.103,1.468,0.452,1.403,1.396,0.724,1.811,1.902,1.773,1.962,1.94,1.919,2.2,1.5,2.737,Europe & Central Asia,High income,2.02,18149
Mongolia,MNG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.17,-0.106,1.202,-0.174,0.857,0.371,-0.458,-0.813,-0.861,-0.306,-0.038,0.234,0.689,0.193,0.49,-0.2,0.065,0.908,0.951,0.473,0.217,1.135,0.601,-0.353,-0.444,0.361,0.166,0.63,1.334,1.53,1.08,0.81,0.454,1.329,1.268,0.41,1.933,2.117,1.764,0.98,1.684,1.786,0.49,1.76,0.923,1.221,2.729,1.759,1.397,0.306,0.757,0.23,1.024,1.879,2.131,1.391,2.493,2.207,1.847,2.353,1.994,2.197,East Asia & Pacific,Lower middle income,1564110.0,2
